Vecka,Year,Region,AntalVaccinerade,AndelVaccinerade,Vaccinationsstatus
06,2021,Gävleborg,6120,"0,026614",Färdigvaccinerade
06,2021,Västernorrland,9913,"0,050702",Minst 1 dos
06,2021,Västernorrland,4767,"0,024382",Färdigvaccinerade
06,2021,Jämtland,4777,"0,045683",Minst 1 dos
06,2021,Jämtland,3008,"0,028766",Färdigvaccinerade
06,2021,Västerbotten,10892,"0,049854",Minst 1 dos
06,2021,Västerbotten,3190,"0,014601",Färdigvaccinerade
06,2021,Norrbotten,11812,"0,058091",Minst 1 dos
06,2021,Norrbotten,6203,"0,030506",Färdigvaccinerade
07,2021,| Sverige |,452460,"0,055246",Minst 1 dos
07,2021,| Sverige |,241045,"0,029432",Färdigvaccinerade
07,2021,Stockholm,65384,"0,034982",Minst 1 dos
07,2021,Stockholm,36460,"0,019507",Färdigvaccinerade
07,2021,Uppsala,17627,"0,057544",Minst 1 dos
07,2021,Uppsala,8294,"0,027076",Färdigvaccinerade
07,2021,Södermanland,16189,"0,069157",Minst 1 dos
07,2021,Södermanland,10962,"0,046828",Färdigvaccinerade
07,2021,Östergötland,23519,"0,063530",Minst 1 dos
07,2021,Östergötland,13334,"0,036018",Färdigvaccinerade
07,2021,Jönköping,18721,"0,065643",Minst 1 dos
07,2021,Jönköping,12155,"0,042620",Färdigvaccinerade
07,2021,Kronoberg,9279,"0,058670",Minst 1 dos
07,2021,Kronoberg,4999,"0,031608",Färdigvaccinerade
07,2021,Kalmar,16804,"0,085178",Minst 1 dos
07,2021,Kalmar,7948,"0,040288",Färdigvaccinerade
07,2021,Gotland,5309,"0,108254",Minst 1 dos
07,2021,Gotland,2321,"0,047327",Färdigvaccinerade
07,2021,Blekinge,10608,"0,083586",Minst 1 dos
07,2021,Blekinge,5110,"0,040264",Färdigvaccinerade
07,2021,Skåne,55693,"0,051112",Minst 1 dos
07,2021,Skåne,27833,"0,025544",Färdigvaccinerade
07,2021,Halland,19253,"0,073007",Minst 1 dos
07,2021,Halland,9570,"0,036289",Färdigvaccinerade
07,2021,Västra Götaland,69257,"0,050511",Minst 1 dos
07,2021,Västra Götaland,34245,"0,024976",Färdigvaccinerade
07,2021,Värmland,16941,"0,074383",Minst 1 dos
07,2021,Värmland,7570,"0,033238",Färdigvaccinerade
07,2021,Örebro,17232,"0,071332",Minst 1 dos
07,2021,Örebro,9534,"0,039466",Färdigvaccinerade
07,2021,Västmanland,14384,"0,065745",Minst 1 dos
07,2021,Västmanland,9126,"0,041712",Färdigvaccinerade
07,2021,Dalarna,14078,"0,061422",Minst 1 dos
07,2021,Dalarna,9837,"0,042918",Färdigvaccinerade
07,2021,Gävleborg,18358,"0,079832",Minst 1 dos
07,2021,Gävleborg,8405,"0,036550",Färdigvaccinerade
07,2021,Västernorrland,11228,"0,057428",Minst 1 dos
07,2021,Västernorrland,6649,"0,034008",Färdigvaccinerade
07,2021,Jämtland,6974,"0,066693",Minst 1 dos
07,2021,Jämtland,3138,"0,030009",Färdigvaccinerade
07,2021,Västerbotten,12001,"0,054930",Minst 1 dos
07,2021,Västerbotten,5044,"0,023087",Färdigvaccinerade
07,2021,Norrbotten,13621,"0,066988",Minst 1 dos
07,2021,Norrbotten,8511,"0,041857",Färdigvaccinerade
08,2021,| Sverige |,551862,"0,067383",Minst 1 dos
08,2021,| Sverige |,293337,"0,035817",Färdigvaccinerade
08,2021,Stockholm,84185,"0,045041",Minst 1 dos
08,2021,Stockholm,45128,"0,024145",Färdigvaccinerade
08,2021,Uppsala,20440,"0,066727",Minst 1 dos
08,2021,Uppsala,10362,"0,033827",Färdigvaccinerade
08,2021,Södermanland,21056,"0,089949",Minst 1 dos
08,2021,Södermanland,11315,"0,048336",Färdigvaccinerade
08,2021,Östergötland,29240,"0,078984",Minst 1 dos
08,2021,Östergötland,15741,"0,042520",Färdigvaccinerade
08,2021,Jönköping,24836,"0,087085",Minst 1 dos
08,2021,Jönköping,12800,"0,044882",Färdigvaccinerade
08,2021,Kronoberg,10816,"0,068389",Minst 1 dos
08,2021,Kronoberg,6124,"0,038722",Färdigvaccinerade
08,2021,Kalmar,19196,"0,097303",Minst 1 dos
08,2021,Kalmar,11068,"0,056103",Färdigvaccinerade
08,2021,Gotland,5779,"0,117838",Minst 1 dos
08,2021,Gotland,4328,"0,088251",Färdigvaccinerade
08,2021,Blekinge,12123,"0,095524",Minst 1 dos
08,2021,Blekinge,6328,"0,049862",Färdigvaccinerade
08,2021,Skåne,65321,"0,059948",Minst 1 dos
08,2021,Skåne,37311,"0,034242",Färdigvaccinerade
08,2021,Halland,21931,"0,083161",Minst 1 dos
08,2021,Halland,11940,"0,045276",Färdigvaccinerade
08,2021,Västra Götaland,82054,"0,059845",Minst 1 dos
08,2021,Västra Götaland,41271,"0,030100",Färdigvaccinerade
08,2021,Värmland,19989,"0,087766",Minst 1 dos
08,2021,Värmland,11016,"0,048368",Färdigvaccinerade
08,2021,Örebro,22098,"0,091475",Minst 1 dos
08,2021,Örebro,10360,"0,042885",Färdigvaccinerade
08,2021,Västmanland,17739,"0,081080",Minst 1 dos
08,2021,Västmanland,9450,"0,043193",Färdigvaccinerade
08,2021,Dalarna,17828,"0,077783",Minst 1 dos
08,2021,Dalarna,9985,"0,043564",Färdigvaccinerade
08,2021,Gävleborg,22324,"0,097079",Minst 1 dos
08,2021,Gävleborg,10898,"0,047391",Färdigvaccinerade
08,2021,Västernorrland,14650,"0,074931",Minst 1 dos
08,2021,Västernorrland,8409,"0,043010",Färdigvaccinerade
08,2021,Jämtland,9120,"0,087215",Minst 1 dos
08,2021,Jämtland,3323,"0,031778",Färdigvaccinerade
08,2021,Västerbotten,14914,"0,068263",Minst 1 dos
08,2021,Västerbotten,7223,"0,033060",Färdigvaccinerade
08,2021,Norrbotten,16223,"0,079784",Minst 1 dos
08,2021,Norrbotten,8957,"0,044050",Färdigvaccinerade
09,2021,| Sverige |,697603,"0,085179",Minst 1 dos
09,2021,| Sverige |,329172,"0,040192",Färdigvaccinerade
09,2021,Stockholm,108278,"0,057931",Minst 1 dos
09,2021,Stockholm,48792,"0,026105",Färdigvaccinerade
09,2021,Uppsala,25653,"0,083745",Minst 1 dos
09,2021,Uppsala,12742,"0,041597",Färdigvaccinerade
09,2021,Södermanland,27600,"0,117904",Minst 1 dos
09,2021,Södermanland,11616,"0,049622",Färdigvaccinerade
09,2021,Östergötland,37978,"0,102588",Minst 1 dos
09,2021,Östergötland,16508,"0,044592",Färdigvaccinerade
09,2021,Jönköping,30631,"0,107405",Minst 1 dos
09,2021,Jönköping,13299,"0,046632",Färdigvaccinerade
09,2021,Kronoberg,14402,"0,091063",Minst 1 dos
09,2021,Kronoberg,6782,"0,042882",Färdigvaccinerade
09,2021,Kalmar,24492,"0,124148",Minst 1 dos
09,2021,Kalmar,13247,"0,067148",Färdigvaccinerade
09,2021,Gotland,6522,"0,132988",Minst 1 dos
09,2021,Gotland,4636,"0,094531",Färdigvaccinerade
09,2021,Blekinge,14367,"0,113205",Minst 1 dos
09,2021,Blekinge,7326,"0,057725",Färdigvaccinerade
09,2021,Skåne,81198,"0,074520",Minst 1 dos
09,2021,Skåne,43941,"0,040327",Färdigvaccinerade
09,2021,Halland,25750,"0,097643",Minst 1 dos
09,2021,Halland,14617,"0,055427",Färdigvaccinerade
